id,mean,std,min,max,count,span,ci95,cv,label,family
b79_exact_curie_temperature_abstain,0.4631150793650794,0.035295215484249666,0.4103174603174603,0.5007936507936508,10,0.09047619047619049,0.021876201201587668,0.07621262415518543,"B79 Curie temp
abstention",abstention
low_conf_superconductivity_arxiv,0.7589213872547206,0.018433467778733375,0.7302241932450266,0.7955515741974075,10,0.06532738095238089,0.011425181697799948,0.02428903452755965,"Low-conf arXiv
caution",freshness
displacement_field_topology,0.8339514652014651,0.013895746016078812,0.8118830128205128,0.8632222985347986,10,0.05133928571428581,0.008612672610811877,0.016662535646150455,"Displacement-field
topology",multi_hop
fci_evidence_hierarchy,0.9186265055750349,0.016539417225629044,0.8910471404956699,0.9362852357337652,10,0.0452380952380953,0.010251237002542917,0.0180045068645998,"FCI evidence
hierarchy",multi_hop
minus_one_third_interpretation,0.8613887326006548,0.01000370554252725,0.8431441762310985,0.8823993654862877,10,0.03925518925518923,0.006200360932983157,0.011613462266130001,"-1/3
interpretation",uncertainty
a5_dot_project_context,0.6406762419573787,0.010173604527449089,0.6189401308462675,0.6550512419573786,10,0.036111111111111094,0.006305665414825867,0.0158794783717388,"A5 dot
project context",project_context
optical_control_chern_states,0.9116096938484018,0.011471113517964465,0.8935590986103066,0.9292733843245924,10,0.03571428571428581,0.007109869818962449,0.012583360615153878,"Optical control
of Chern states",multi_hop
moire_exciton_exclude_polariton,0.5090636780989826,0.013082049242259409,0.4916080087683132,0.5273222944825989,10,0.035714285714285754,0.008108338125331842,0.025698257025746254,"Moire exciton
hard negative",hard_negative
b79_project_context,0.8192757936507936,0.00844882492203496,0.8027678571428571,0.8313392857142857,10,0.02857142857142858,0.0052366359399024995,0.010312552851569014,"B79
project context",project_context
d93_nu_minus2_hysteresis_caution,0.8387042934256634,0.007813447389437001,0.8262241346955046,0.8542003251716951,10,0.027976190476190488,0.0048428248651894434,0.009316093229382672,"D93 nu=-2
caution",uncertainty
